producto,categoria,precio,Rubro,categoria,,569,electro
SAMSUNG TONER  SCX-4200 D3,impresion,147.55466,001-0001,impresion,,001-1001,impresion
SAMSUNG TONER CLP-M300A P/CLP300-N/CLX3160 MAGENTA,impresion,1.63713,001-0001,impresion,,001-1055,cables
SAMSUNG TONER ML-3560DB,impresion,12.69774,001-0001,impresion,,001-1259,electro
SAMSUNG TONER MLT-D119S CAJA DA�ADA ML-1610 SU864A,impresion,45.71985,001-0001,impresion,,001-1260,electro
SAMSUNG TONER MLT-P208A P/SCX-5835NX 20K PAG (EXPO,impresion,2.9172,001-0001,impresion,,001-1261,pc
SAMSUNG TONER SCX-4521D3,impresion,145.73119,001-0001,impresion,,001-1510,gamer
"WASTE TONER SAMSUNG CLT-W504 P/ CLP-415, CLX-4195",impresion,20.7636,001-0001,impresion,,001-3560,electro
ADAPTADOR DE RED TP-LINK USB 2.0 LAN 100MBPS UE200,accesorios,17.62244,001-0010,accesorios,,001-3561,accesorios
ADAPTADOR DE RED TP-LINK USB 3.0 LAN GIGABIT UE306,accesorios,26.38042,001-0010,accesorios,,001-3562,celulares
ADAPTADOR DE RED TP-LINK USB-C LAN GIGABIT UE300C,accesorios,26.68655,001-0010,accesorios,,001-900,electro
ADAPTADOR IDE A S-ATA  NOGANET P/ DISCOS SATA,accesorios,0.51051,001-0010,accesorios,,001-980,electro
BATERIA HONEYWELL PARA LECTOR 1202G/1452/1902,accesorios,87.53987,001-0010,accesorios,,002-0015,pc
BATERIA HP 12 CELDAS ULTRA CAPACIDAD - (AT486AA),accesorios,165.24365,001-0010,accesorios,,002-0021,pc
BATERIA HP C3059A P/HP DESKJET 340,accesorios,110.23342,001-0010,accesorios,,002-0137,discos
BATERIA HP LI-ION 8 CELDAS EXTENDED LIFE,accesorios,1.331,001-0010,accesorios,,002-0280,rams
BATERIA P/INALAMBRICO TIPO#1 TL26144 GE,accesorios,7.22733,001-0010,accesorios,,002-0281,memorias
BATERIA P/NOTEBOOK ASUS W7JN,accesorios,273.42733,001-0010,accesorios,,002-0299,accesorios
BRACKET VESA P/ GAB MINI ITX T3500,accesorios,6.36922,001-0010,accesorios,,002-0320,monitores
BRIDGE ASUS ROG Enthusiast SLI Bridge,accesorios,89.04753,001-0010,accesorios,,002-0361,notebooks
CABLE USB MICRO USB  INTCO 1.5M,accesorios,2.9282,001-0010,accesorios,,002-0368,tablets
CAPACITIVE TOUCH FOIL 55 INCH 10 POINTS,accesorios,493.38839,001-0010,accesorios,,002-0510,accesorios
CARGADOR INALAMBRICO PERFORMANCE PF-T1000,accesorios,9.0508,001-0010,accesorios,,002-0553,vga
CARGADOR P/ NB HP 90W SMART P/ AUTO,accesorios,20.61719,001-0010,accesorios,,002-0670,accesorios
CASETE ANTRIEB P/EPSON LQ 800,accesorios,1.5972,001-0010,accesorios,,002-0997,pc
CINTO BROTHER PORTA P-TOUCH,accesorios,1.519375,001-0010,accesorios,,003-0099,accesorios
CONTACTO AUXILIAR Schneider FRONTAL 1NA+1NC,accesorios,47.18395,001-0010,accesorios,,003-0367,accesorios
DAUGHTER IBM 8GB FC 4 PUERTOS,accesorios,1030.59814,001-0010,accesorios,,003-0800,electro
"DELL  Riser Config 6, 1xOCP 3.0(x16)+ 1x16LP",accesorios,99.54945,001-0010,accesorios,,003-1000,electro
DELL Heatsink for 1 CPU - LESS THAN 165W,accesorios,55.30525,001-0010,accesorios,,904-0152,electro
"DELL Standar fan,cuskit - R450",accesorios,44.2442,001-0010,accesorios,,907-1555,smartwatch
ECS BATERIA LI ION ES1 4400  (G320),accesorios,233.68367,001-0010,accesorios,,908-957,electro
